行权价,C_最新价,C_买价,C_卖价,C_持仓,P_最新价,P_买价,P_卖价,P_持仓
672,,,,,2.0,1.5,2.58,57.0
680,,,,,1.96,1.5,2.92,50.0
688,221.22,208.24,220.54,1.0,2.14,1.82,3.2,60.0
696,208.16,200.9,212.9,4.0,2.38,1.5,2.8,48.0
704,,,,,2.6,2.62,3.16,38.0
712,,,,,2.94,1.98,3.66,29.0
720,,,,,3.14,3.14,3.84,64.0
728,226.0,86.36,227.2,7.0,3.46,3.02,4.14,97.0
736,,,,,3.54,3.54,5.7,45.0
744,,,,,4.12,3.78,5.82,28.0
752,,,,,5.0,4.28,6.44,28.0
760,297.24,0.0,0.0,3.0,5.22,4.52,6.08,51.0
768,,,,,5.82,5.6,7.42,45.0
776,283.86,132.42,0.0,1.0,6.02,5.92,8.34,52.0
784,,,,,6.86,6.28,9.48,80.0
792,,,,,7.74,7.68,7.92,56.0
800,,,,,8.54,8.46,8.62,638.0
808,,,,,9.16,9.38,9.66,53.0
816,,,,,10.52,10.38,10.78,110.0
824,235.0,88.6,0.0,1.0,11.72,11.46,11.86,57.0
832,,,,,12.92,12.66,13.04,70.0
840,119.94,113.96,116.9,794.0,14.32,14.1,14.44,94.0
848,,,,,15.88,15.56,16.08,82.0
856,,,,,17.48,17.18,17.64,68.0
864,,,,,18.2,18.94,19.4,235.0
872,90.82,89.68,90.68,4.0,20.58,20.98,21.56,149.0
880,85.1,84.34,85.06,819.0,23.52,23.16,23.72,191.0
888,81.54,78.1,79.28,23.0,25.6,25.58,26.26,117.0
896,75.98,72.8,73.76,25.0,28.18,28.12,28.82,130.0
904,70.7,67.44,68.64,59.0,30.88,30.9,31.62,184.0
912,65.42,62.66,63.46,36.0,32.42,33.86,34.72,157.0
920,58.42,58.26,59.16,2087.0,37.58,37.32,37.86,830.0
928,55.72,53.4,54.48,51.0,41.28,40.68,41.52,162.0
936,52.02,49.08,50.26,43.0,43.74,44.34,45.24,140.0
944,49.74,45.06,46.24,36.0,47.7,46.78,50.76,86.0
952,42.94,41.38,42.5,57.0,51.5,51.56,55.16,208.0
960,38.7,37.92,38.82,822.0,54.8,55.88,58.52,508.0
