行权价,C_最新价,C_买价,C_卖价,C_持仓,P_最新价,P_买价,P_卖价,P_持仓
968,35.34,34.72,35.56,173.0,62.2,60.5,66.96,133.0
976,32.64,31.7,32.64,158.0,66.7,65.82,71.1,127.0
984,29.08,28.98,29.82,149.0,101.68,102.58,139.86,81.0
992,26.5,26.56,27.22,129.0,107.02,108.82,145.26,115.0
1000,24.3,24.28,24.76,658.0,83.8,79.52,87.4,126.0
1008,22.4,22.02,22.58,277.0,113.76,102.78,122.92,45.0
1016,21.18,19.94,20.66,140.0,113.4,105.12,125.48,65.0
1024,17.86,17.06,19.24,107.0,127.9,112.18,131.96,58.0
1032,17.0,15.6,17.1,105.0,107.62,103.5,122.42,144.0
1040,15.0,14.14,16.06,260.0,152.82,148.42,283.96,41.0
1048,14.64,12.76,14.5,130.0,145.2,155.88,178.46,41.0
1056,13.04,11.58,14.04,90.0,173.5,162.6,185.58,45.0
1064,12.0,10.56,12.88,93.0,126.6,122.5,149.48,35.0
1072,8.9,9.86,11.56,162.0,133.3,129.02,149.2,68.0
1080,9.38,9.4,9.7,498.0,149.26,159.56,184.42,43.0
1088,8.54,7.86,9.6,116.0,147.76,123.28,163.42,30.0
1096,8.54,7.42,9.6,124.0,152.22,153.48,164.46,8.0
1104,8.02,6.9,8.8,194.0,128.4,132.34,139.64,3.0
1112,7.38,6.06,10.38,54.0,109.4,107.8,114.84,5.0
1120,5.62,5.68,8.02,147.0,111.9,109.74,120.76,2.0
1128,6.58,5.38,9.12,77.0,148.16,21.36,0.0,6.0
1136,6.08,4.74,8.8,88.0,190.52,185.58,194.6,7.0
1144,4.42,4.52,6.58,128.0,,,,
1152,5.16,4.36,5.74,166.0,,,,
1160,4.68,4.2,4.88,192.0,,,,
1168,4.48,3.56,6.7,70.0,,,,
1176,4.08,3.46,6.78,24.0,,,,
1184,4.18,3.26,6.52,24.0,155.0,155.06,167.14,1.0
1192,4.1,3.08,6.2,63.0,,,,
1200,3.58,3.26,5.48,86.0,,,,
1208,3.1,2.8,5.68,35.0,,,,
1216,3.26,2.86,5.08,19.0,196.6,15.02,0.0,1.0
1224,2.68,2.3,4.1,13.0,203.32,21.46,0.0,1.0
1232,2.98,2.18,154.9,21.0,235.02,56.4,0.0,2.0
1240,2.82,2.82,154.7,28.0,,,,
1248,2.68,2.68,153.68,24.0,,,,
1256,2.58,2.04,154.0,20.0,,,,
1264,2.48,2.48,154.22,26.0,264.62,250.36,262.28,4.0
1272,2.42,2.3,52.68,27.0,278.0,284.3,293.2,4.0
1280,2.28,2.2,154.12,24.0,,,,
1288,2.22,2.16,38.64,41.0,257.82,242.06,279.4,1.0
1296,2.26,2.08,154.04,45.0,,,,
1304,2.02,2.02,154.06,36.0,271.16,256.9,294.54,1.0
1312,2.04,2.04,152.66,35.0,280.18,264.36,302.16,1.0
1320,1.94,1.94,2.74,53.0,286.12,271.86,309.8,1.0
1328,1.84,1.84,153.58,27.0,,,,
1336,1.86,1.74,153.84,29.0,,,,
1344,2.08,1.28,3.24,65.0,,,,
1352,1.76,1.38,154.0,31.0,317.98,156.26,0.0,1.0
1360,1.76,1.26,2.54,58.0,325.6,163.78,0.0,1.0
1368,1.62,1.2,1.64,51.0,333.24,171.32,0.0,1.0
1376,1.64,1.22,4.02,33.0,340.92,178.86,0.0,1.0
1384,1.52,1.18,4.26,39.0,380.82,374.16,390.48,5.0
1392,1.6,1.16,3.88,45.0,356.28,194.1,0.0,1.0
1400,1.54,1.44,4.18,36.0,364.0,201.76,0.0,1.0
1408,1.44,1.08,4.14,45.0,365.56,364.04,377.44,4.0
1416,1.44,0.92,3.84,36.0,373.26,371.54,385.2,4.0
1424,1.4,1.08,1.8,41.0,378.74,376.14,387.4,6.0
1432,1.36,1.16,1.78,40.0,386.54,383.92,395.22,6.0
1440,1.28,1.08,3.58,58.0,396.48,395.08,408.64,4.0
1448,1.36,1.14,3.72,54.0,402.22,399.58,410.92,5.0
1456,1.3,1.12,1.72,45.0,418.34,255.82,0.0,2.0
1464,1.26,1.06,1.68,54.0,426.14,263.64,0.0,2.0
1472,1.26,1.1,1.64,48.0,433.94,271.46,0.0,2.0
1480,1.12,1.02,1.34,52.0,432.86,430.06,441.62,4.0
1488,1.2,1.06,1.38,82.0,449.6,287.28,0.0,2.0
1496,1.06,1.06,1.36,82.0,457.44,294.96,0.0,3.0
1504,1.08,1.08,1.36,129.0,525.14,368.66,518.52,6.0
1512,1.42,1.42,1.44,614.0,533.0,376.66,0.0,3.0
