行权价,C_最新价,C_买价,C_卖价,C_持仓,P_最新价,P_买价,P_卖价,P_持仓
1136,1.48,0.98,1.62,93.0,116.18,68.56,0.0,50.0
1144,1.4,0.9,1.48,146.0,178.3,169.12,201.04,49.0
1152,1.28,1.06,1.38,634.0,185.82,176.76,209.34,60.0
1160,1.22,1.2,1.24,1459.0,211.32,48.42,370.24,38.0
1168,1.24,0.76,1.12,136.0,219.2,56.4,377.96,23.0
1176,1.22,0.84,88.0,90.0,227.48,64.36,386.2,14.0
1184,1.12,0.9,1.78,176.0,193.0,174.52,0.0,17.0
1192,1.1,1.1,1.38,142.0,182.78,175.26,188.72,8.0
1200,1.12,1.1,1.16,1611.0,85.76,77.54,95.26,2.0
1208,0.9,0.7,1.04,61.0,241.3,232.74,264.6,2.0
1216,0.92,0.9,1.02,395.0,267.08,103.24,426.3,4.0
1224,0.8,0.64,1.0,30.0,,,,
1232,0.88,0.66,1.38,66.0,,,,
1240,0.8,0.44,2.78,73.0,,,,
1248,0.76,0.66,2.76,71.0,,,,
1256,0.74,0.6,6.88,72.0,,,,
1264,0.66,0.56,1.22,67.0,,,,
1272,0.66,0.4,1.18,52.0,222.0,211.96,0.0,3.0
1280,0.64,0.58,1.54,43.0,,,,
1288,0.68,0.68,1.34,172.0,394.72,199.64,402.18,2.0
1296,0.62,0.52,0.64,32.0,,,,
1304,0.7,0.66,2.66,39.0,,,,
1312,0.52,0.28,152.6,26.0,,,,
1320,0.62,0.5,2.6,31.0,266.2,260.32,277.9,1.0
1328,0.6,0.5,152.78,30.0,,,,
1336,0.58,0.46,2.58,26.0,280.9,275.38,0.0,1.0
1344,0.54,0.44,152.78,23.0,,,,
1352,0.56,0.44,1.2,37.0,309.64,138.14,0.0,1.0
1360,0.52,0.44,1.04,54.0,317.5,145.98,0.0,1.0
1368,0.48,0.48,0.5,30.0,311.64,308.94,323.06,1.0
1376,0.5,0.44,0.98,29.0,333.22,322.26,361.02,2.0
1384,0.54,0.5,0.52,29.0,346.76,184.28,0.0,2.0
1392,0.58,0.5,0.56,33.0,348.98,338.0,376.82,3.0
1400,0.48,0.46,0.64,25.0,357.96,346.0,0.0,3.0
1408,0.5,0.46,1.02,32.0,365.86,351.86,0.0,3.0
1416,0.44,0.42,0.5,29.0,378.46,368.12,405.72,3.0
1424,0.48,0.42,0.96,52.0,386.38,0.0,0.0,3.0
1432,0.48,0.44,0.48,31.0,394.3,0.0,0.0,7.0
1440,0.46,0.34,0.58,17.0,397.56,384.84,0.0,5.0
1448,0.44,0.32,0.62,36.0,411.1,228.98,0.0,3.0
1456,0.44,0.42,0.68,26.0,419.04,236.96,0.0,4.0
1464,0.48,0.38,1.0,29.0,421.38,409.38,0.0,7.0
1472,0.46,0.34,0.56,33.0,433.92,252.92,0.0,5.0
1480,0.44,0.38,0.94,64.0,441.84,260.92,0.0,6.0
1488,0.92,0.38,0.58,51.0,449.8,268.92,0.0,10.0
1496,0.62,0.42,0.64,90.0,457.76,276.92,0.0,5.0
1504,0.56,0.56,0.58,1422.0,590.84,0.0,0.0,2.0
