行权价,C_最新价,C_买价,C_卖价,C_持仓,P_最新价,P_买价,P_卖价,P_持仓
664,377.0,370.64,0.0,2.0,0.46,0.44,0.46,858.0
672,,,,,0.48,0.46,0.5,106.0
680,350.52,340.2,0.0,1.0,0.52,0.5,3.04,68.0
688,,,,,0.58,0.4,1.22,36.0
696,,,,,0.66,0.44,1.52,43.0
704,280.06,242.34,0.0,3.0,0.74,0.66,1.0,110.0
712,272.1,256.04,0.0,3.0,0.72,0.72,1.48,42.0
720,246.96,230.36,258.14,12.0,0.72,0.64,1.84,59.0
728,239.08,222.48,250.28,1.0,1.5,0.64,1.22,33.0
736,237.5,112.12,0.0,1.0,0.96,0.74,1.38,28.0
744,,,,,1.54,0.88,1.42,29.0
752,,,,,1.3,0.92,1.58,79.0
760,304.84,302.46,0.0,4.0,2.4,0.92,1.78,36.0
768,252.18,88.6,439.2,2.0,1.28,0.98,1.88,42.0
776,,,,,1.58,1.28,2.16,47.0
784,,,,,1.94,1.38,2.34,70.0
792,,,,,2.0,2.12,2.16,85.0
800,146.0,139.48,145.42,306.0,2.48,2.46,2.48,1432.0
808,225.7,207.38,0.0,4.0,2.74,2.72,2.8,92.0
816,,,,,3.1,3.1,3.2,97.0
824,161.0,158.92,0.0,1.0,3.52,3.54,3.58,151.0
832,195.0,0.0,205.14,1.0,4.08,4.06,4.16,125.0
840,103.08,102.8,103.62,690.0,4.76,4.72,4.8,614.0
848,210.0,186.74,0.0,2.0,5.4,5.38,5.54,259.0
856,57.54,47.1,161.56,1.0,6.28,6.24,6.38,172.0
864,80.32,71.38,85.58,22.0,7.18,7.22,7.36,218.0
872,78.38,74.44,75.04,44.0,8.24,8.38,8.56,292.0
880,68.7,67.9,68.4,891.0,9.8,9.72,9.82,1472.0
888,62.04,61.32,61.86,52.0,11.32,11.3,11.4,384.0
896,56.5,55.14,55.6,150.0,13.12,13.12,13.32,280.0
904,52.74,49.26,49.72,136.0,15.46,15.24,15.36,843.0
912,45.52,43.82,44.38,118.0,17.68,17.66,17.92,380.0
920,38.78,38.76,39.0,1223.0,20.54,20.52,20.72,1134.0
928,34.18,33.84,34.34,75.0,23.76,23.66,23.96,397.0
936,30.1,29.54,29.92,308.0,27.44,27.26,27.62,425.0
944,25.98,25.52,25.8,322.0,31.5,31.18,31.6,213.0
952,22.4,22.0,22.2,233.0,34.06,35.52,36.06,272.0
960,18.78,18.8,18.96,1066.0,40.26,40.32,40.86,774.0
968,16.22,16.02,16.32,253.0,46.1,45.58,46.26,216.0
976,13.78,13.66,13.94,246.0,47.44,50.54,52.26,206.0
984,11.7,11.64,11.9,289.0,58.02,57.18,57.88,220.0
992,10.0,9.96,10.16,332.0,62.56,63.4,64.1,230.0
1000,8.52,8.52,8.56,4211.0,69.46,69.84,70.64,509.0
1008,7.38,7.3,7.4,459.0,75.0,76.6,78.7,156.0
1016,6.34,6.28,6.4,289.0,82.0,83.14,85.64,145.0
1024,6.2,5.46,5.68,325.0,138.9,112.8,123.5,142.0
1032,4.72,4.62,5.16,307.0,99.48,97.58,100.38,206.0
1040,4.24,4.24,4.3,1354.0,130.0,117.46,126.96,329.0
1048,3.66,3.68,3.94,415.0,155.0,150.74,164.1,120.0
1056,3.28,3.2,3.28,519.0,156.3,158.38,172.0,214.0
1064,2.9,2.82,3.14,498.0,146.96,139.38,0.0,95.0
1072,2.82,2.6,2.9,231.0,173.66,173.74,200.12,80.0
1080,2.4,2.38,2.42,3166.0,175.86,100.64,0.0,86.0
1088,2.36,2.14,2.56,234.0,193.84,90.02,210.12,50.0
1096,2.42,1.98,2.28,267.0,123.84,28.18,127.94,64.0
1104,1.98,1.52,2.0,375.0,167.0,161.4,169.3,132.0
1112,1.9,1.32,2.0,118.0,170.92,167.4,176.5,59.0
1120,1.72,1.36,1.68,353.0,176.88,175.0,183.8,42.0
1128,1.5,1.52,1.74,217.0,227.6,41.6,354.02,64.0
