行权价,C_最新价,C_买价,C_卖价,C_持仓,P_最新价,P_买价,P_卖价,P_持仓
2300,450.0,440.0,457.0,2.0,0.5,0.0,0.5,1986
2400,372.0,352.5,372.0,2.0,0.5,0.0,0.5,1123
2450,,,,,0.5,0.0,0.5,941
2500,258.0,256.0,273.0,35.0,0.5,0.0,0.5,966
2550,220.0,211.0,217.5,259.0,0.5,0.0,0.5,5396
2600,167.5,161.5,163.0,383.0,0.5,0.0,0.5,4834
2650,112.0,111.5,113.0,1190.0,0.5,0.0,0.5,9118
2700,62.5,61.5,63.0,2026.0,0.5,0.0,0.5,15867
2750,14.5,14.0,14.5,7356.0,2.5,2.0,2.5,20453
2800,0.5,0.5,1.0,23637.0,38.5,38.5,39.0,15692
2850,0.5,0.0,0.5,26903.0,86.5,87.5,89.0,4580
2900,0.5,0.0,0.5,24364.0,136.5,137.5,138.5,2148
2950,0.5,0.0,0.5,12701.0,183.5,187.0,188.5,1916
3000,0.5,0.0,0.5,46162.0,232.5,237.5,239.0,1750
3050,0.5,0.0,0.5,4767.0,279.5,282.5,291.5,1085
3100,0.5,0.0,0.5,8555.0,328.5,331.5,341.0,850
3150,0.5,0.0,0.5,2785.0,390.0,381.5,391.0,185
3200,0.5,0.0,0.5,9554.0,430.0,429.0,474.5,26
3250,0.5,0.0,0.5,27133.0,441.5,389.5,438.5,75
