行权价,C_最新价,C_买价,C_卖价,C_持仓,P_最新价,P_买价,P_卖价,P_持仓
664,,,,,0.02,0.02,0.04,26.0
672,,,,,0.12,0.04,0.2,2.0
680,,,,,0.14,0.06,0.28,4.0
688,,,,,0.02,0.02,0.04,57.0
696,,,,,0.18,0.02,0.26,15.0
704,,,,,0.1,0.04,0.08,86.0
712,221.96,36.6,0.0,1.0,0.04,0.04,0.18,27.0
720,213.96,28.6,0.0,1.0,0.12,0.04,0.16,15.0
728,205.96,20.6,0.0,1.0,0.08,0.04,0.28,85.0
736,197.98,194.54,0.0,1.0,0.2,0.1,0.2,64.0
744,189.98,15.02,0.0,1.0,0.1,0.1,0.3,29.0
752,182.0,15.52,0.0,1.0,0.16,0.1,0.9,23.0
760,174.02,15.02,0.0,1.0,0.16,0.1,0.3,49.0
768,171.3,18.0,0.0,0.0,0.14,0.1,0.96,31.0
776,158.08,15.14,0.0,1.0,0.16,0.14,0.18,29.0
784,150.1,15.12,0.0,1.0,0.2,0.16,0.2,61.0
792,147.38,21.0,0.0,0.0,0.22,0.2,0.24,67.0
800,139.42,92.56,0.0,0.0,0.36,0.36,0.38,2945.0
808,131.54,78.56,0.0,1.0,0.3,0.28,0.32,101.0
816,123.6,78.56,0.0,1.0,0.36,0.32,0.36,117.0
824,,,,,0.42,0.38,0.42,57.0
832,,,,,0.5,0.46,0.5,97.0
840,,,,,0.58,0.58,0.6,314.0
848,87.32,77.56,0.0,0.0,0.72,0.7,0.76,200.0
856,,,,,0.94,0.94,0.96,1037.0
864,76.44,65.32,0.0,5.0,1.22,1.2,1.28,127.0
872,69.32,65.96,66.74,7.0,1.58,1.5,1.62,275.0
880,59.66,58.44,59.24,20.0,2.04,2.04,2.06,524.0
888,51.8,51.04,51.74,85.0,2.62,2.6,2.66,469.0
896,44.86,43.94,44.62,113.0,3.52,3.48,3.56,333.0
904,37.68,37.22,37.8,175.0,4.74,4.68,4.76,2443.0
912,31.3,30.86,31.36,146.0,6.22,6.22,6.34,593.0
920,25.16,25.04,25.3,791.0,8.36,8.24,8.38,362.0
928,20.14,19.64,20.06,122.0,10.98,10.94,11.18,228.0
936,15.38,15.16,15.46,219.0,14.1,14.3,14.56,476.0
944,11.66,11.5,11.68,362.0,18.9,18.58,19.02,219.0
952,8.66,8.6,8.74,301.0,23.88,23.58,24.0,246.0
960,6.5,6.48,6.5,2933.0,28.7,29.28,29.96,294.0
968,4.98,4.68,4.94,273.0,35.84,35.58,36.32,251.0
976,3.52,3.52,3.6,619.0,37.46,38.4,43.22,166.0
984,2.68,2.62,2.72,371.0,48.7,48.32,51.02,172.0
992,2.06,2.04,2.12,328.0,52.38,54.5,58.28,96.0
1000,1.76,1.76,1.78,4244.0,64.14,63.54,65.26,475.0
1008,1.36,1.26,1.36,261.0,66.02,71.28,73.44,60.0
1016,1.04,1.02,1.08,228.0,75.22,78.38,81.16,15.0
1024,0.84,0.82,0.92,318.0,112.0,106.7,119.62,17.0
1032,0.82,0.58,0.76,251.0,122.9,117.18,127.48,29.0
1040,0.5,0.5,0.64,288.0,77.0,95.34,232.86,13.0
1048,0.5,0.48,0.5,1236.0,136.8,15.02,0.0,7.0
1056,0.5,0.36,0.5,156.0,108.9,103.38,111.86,4.0
1064,1.7,0.32,0.6,52.0,129.78,127.14,128.04,14.0
1072,0.26,0.26,0.86,48.0,160.68,0.0,0.0,1.0
1080,0.34,0.28,0.32,377.0,,,,
1088,0.28,0.2,0.26,144.0,176.64,37.72,0.0,2.0
1096,0.3,0.2,0.26,56.0,184.62,45.72,0.0,1.0
1104,0.18,0.16,0.18,1127.0,194.98,53.72,0.0,1.0
1112,0.2,0.14,0.28,22.0,,,,
1120,0.3,0.14,0.2,95.0,208.58,69.72,0.0,1.0
1128,0.2,0.08,0.2,19.0,132.3,128.26,141.3,1.0
1136,0.2,0.08,1.0,13.0,226.94,85.72,0.0,1.0
1144,0.2,0.1,0.2,30.0,235.96,93.72,0.0,1.0
1152,0.2,0.08,0.2,27.0,,,,
1160,0.18,0.1,0.0,41.0,,,,
1168,0.16,0.08,0.0,45.0,,,,
1176,0.46,0.1,0.26,22.0,,,,
1184,0.14,0.06,0.0,26.0,,,,
1192,0.2,0.1,0.2,29.0,,,,
1200,0.08,0.08,0.12,257.0,240.0,56.4,0.0,0.0
1208,0.12,0.08,0.6,24.0,,,,
1216,0.12,0.06,0.0,17.0,,,,
1224,0.1,0.06,0.6,20.0,,,,
1232,0.1,0.04,0.58,28.0,,,,
1240,0.16,0.06,0.68,24.0,,,,
1248,0.1,0.06,0.16,24.0,,,,
1256,0.14,0.1,0.66,31.0,,,,
1264,0.08,0.06,0.56,22.0,,,,
1272,0.08,0.04,0.56,23.0,,,,
1280,0.12,0.12,0.46,19.0,,,,
1288,0.14,0.08,0.64,42.0,,,,
1296,0.08,0.04,0.08,56.0,,,,
1304,0.1,0.06,0.08,144.0,,,,
1312,0.08,0.04,0.08,175.0,,,,
